id;x;y;z;i;j;k;v;comment
-1;1000;-750;-250;90;90;90;0;traj tube 138 pose:ijk=rz in degrees, then ry in degrees, then rx in degrees
0;69;0;8;-1;0;-1;70;comment
1;68.7374341683304;6.01374624958841;8;-0.996194698091746;-0.0871557427476582;-1;70;comment
2;67.9517349578424;11.9817242590182;8;-0.984807753012208;-0.17364817766693;-1;70;comment
3;66.6488820139457;17.8585141120739;8;-0.965925826289068;-0.258819045102521;-1;70;comment
4;64.8387908342277;23.5993898894711;8;-0.939692620785908;-0.342020143325669;-1;70;comment
5;62.5352373055288;29.1606600601083;8;-0.90630778703665;-0.422618261740699;-1;70;comment
6;59.7557528611263;34.5;8;-0.866025403784439;-0.5;-1;70;comment
7;56.5214910559404;39.5767741082222;8;-0.819152044288992;-0.573576436351046;-1;70;comment
8;52.8570665752095;44.3523450683712;8;-0.766044443118978;-0.642787609686539;-1;70;comment
9;48.7903679018718;48.7903679018718;8;-0.707106781186548;-0.707106781186547;-1;70;comment
10;44.3523450683712;52.8570665752095;8;-0.642787609686539;-0.766044443118978;-1;70;comment
11;39.5767741082222;56.5214910559404;8;-0.573576436351046;-0.819152044288992;-1;70;comment
12;34.5;59.7557528611263;8;-0.5;-0.866025403784439;-1;70;comment
13;29.1606600601083;62.5352373055288;8;-0.422618261740699;-0.90630778703665;-1;70;comment
14;23.5993898894711;64.8387908342277;8;-0.342020143325669;-0.939692620785908;-1;70;comment
15;17.8585141120739;66.6488820139457;8;-0.258819045102521;-0.965925826289068;-1;70;comment
16;11.9817242590182;67.9517349578424;8;-0.17364817766693;-0.984807753012208;-1;70;comment
17;6.01374624958841;68.7374341683304;8;-0.0871557427476581;-0.996194698091746;-1;70;comment
18;4.22503145705837E-015;69;8;-6.12323399573677E-017;-1;-1;70;comment
19;-6.01374624958842;68.7374341683304;8;0.0871557427476582;-0.996194698091746;-1;70;comment
20;-11.9817242590182;67.9517349578424;8;0.17364817766693;-0.984807753012208;-1;70;comment
21;-17.8585141120739;66.6488820139457;8;0.258819045102521;-0.965925826289068;-1;70;comment
22;-23.5993898894711;64.8387908342277;8;0.342020143325669;-0.939692620785908;-1;70;comment
23;-29.1606600601083;62.5352373055289;8;0.422618261740699;-0.90630778703665;-1;70;comment
24;-34.5;59.7557528611263;8;0.5;-0.866025403784439;-1;70;comment
25;-39.5767741082222;56.5214910559404;8;0.573576436351046;-0.819152044288992;-1;70;comment
26;-44.3523450683712;52.8570665752095;8;0.642787609686539;-0.766044443118978;-1;70;comment
27;-48.7903679018718;48.7903679018718;8;0.707106781186547;-0.707106781186548;-1;70;comment
28;-52.8570665752095;44.3523450683712;8;0.766044443118978;-0.642787609686539;-1;70;comment
29;-56.5214910559404;39.5767741082222;8;0.819152044288992;-0.573576436351046;-1;70;comment
30;-59.7557528611263;34.5;8;0.866025403784439;-0.5;-1;70;comment
31;-62.5352373055288;29.1606600601083;8;0.90630778703665;-0.422618261740699;-1;70;comment
32;-64.8387908342277;23.5993898894711;8;0.939692620785908;-0.342020143325669;-1;70;comment
33;-66.6488820139457;17.858514112074;8;0.965925826289068;-0.258819045102521;-1;70;comment
34;-67.9517349578424;11.9817242590182;8;0.984807753012208;-0.17364817766693;-1;70;comment
35;-68.7374341683304;6.01374624958842;8;0.996194698091746;-0.0871557427476582;-1;70;comment
36;-69;8.45006291411674E-015;8;1;-1.22464679914735E-016;-1;70;comment
37;-68.7374341683304;-6.0137462495884;8;0.996194698091746;0.0871557427476579;-1;70;comment
38;-67.9517349578424;-11.9817242590182;8;0.984807753012208;0.17364817766693;-1;70;comment
39;-66.6488820139457;-17.8585141120739;8;0.965925826289068;0.258819045102521;-1;70;comment
40;-64.8387908342277;-23.5993898894711;8;0.939692620785908;0.342020143325669;-1;70;comment
41;-62.5352373055289;-29.1606600601082;8;0.90630778703665;0.422618261740699;-1;70;comment
42;-59.7557528611263;-34.5;8;0.866025403784439;0.5;-1;70;comment
43;-56.5214910559404;-39.5767741082222;8;0.819152044288992;0.573576436351046;-1;70;comment
44;-52.8570665752095;-44.3523450683712;8;0.766044443118978;0.642787609686539;-1;70;comment
45;-48.7903679018718;-48.7903679018718;8;0.707106781186548;0.707106781186547;-1;70;comment
46;-44.3523450683712;-52.8570665752095;8;0.642787609686539;0.766044443118978;-1;70;comment
47;-39.5767741082222;-56.5214910559404;8;0.573576436351046;0.819152044288992;-1;70;comment
48;-34.5;-59.7557528611262;8;0.5;0.866025403784438;-1;70;comment
49;-29.1606600601082;-62.5352373055289;8;0.422618261740699;0.90630778703665;-1;70;comment
50;-23.5993898894711;-64.8387908342277;8;0.342020143325669;0.939692620785908;-1;70;comment
51;-17.8585141120739;-66.6488820139457;8;0.258819045102521;0.965925826289068;-1;70;comment
52;-11.9817242590182;-67.9517349578424;8;0.17364817766693;0.984807753012208;-1;70;comment
53;-6.01374624958842;-68.7374341683304;8;0.0871557427476582;0.996194698091746;-1;70;comment
54;-0.0000000000000126750943711751;-69;8;1.83697019872103E-016;1;-1;70;comment
55;6.01374624958839;-68.7374341683304;8;-0.0871557427476579;0.996194698091746;-1;70;comment
56;11.9817242590182;-67.9517349578424;8;-0.17364817766693;0.984807753012208;-1;70;comment
57;17.8585141120739;-66.6488820139457;8;-0.25881904510252;0.965925826289068;-1;70;comment
58;23.5993898894712;-64.8387908342277;8;-0.342020143325669;0.939692620785908;-1;70;comment
59;29.1606600601083;-62.5352373055288;8;-0.4226182617407;0.90630778703665;-1;70;comment
60;34.5;-59.7557528611263;8;-0.5;0.866025403784439;-1;70;comment
