id;x;y;z;i;j;k;v;comment
61;39.5767741082222;-56.5214910559404;8;-0.573576436351046;0.819152044288992;-1;70;comment
62;44.3523450683712;-52.8570665752095;8;-0.642787609686539;0.766044443118978;-1;70;comment
63;48.7903679018718;-48.7903679018718;8;-0.707106781186547;0.707106781186548;-1;70;comment
64;52.8570665752095;-44.3523450683712;8;-0.766044443118978;0.64278760968654;-1;70;comment
65;56.5214910559404;-39.5767741082222;8;-0.819152044288992;0.573576436351047;-1;70;comment
66;59.7557528611262;-34.5;8;-0.866025403784438;0.5;-1;70;comment
67;62.5352373055289;-29.1606600601082;8;-0.90630778703665;0.422618261740699;-1;70;comment
68;64.8387908342277;-23.5993898894711;8;-0.939692620785908;0.342020143325669;-1;70;comment
69;66.6488820139457;-17.8585141120739;8;-0.965925826289068;0.258819045102521;-1;70;comment
70;67.9517349578424;-11.9817242590182;8;-0.984807753012208;0.17364817766693;-1;70;comment
71;68.7374341683304;-6.01374624958842;8;-0.996194698091746;0.0871557427476583;-1;70;comment
72;69;-0.0000000000000169001258282335;8;-1;2.44929359829471E-016;-1;70;comment
